flows,packets,bytes
1183341,28786422,3939688699
1180512,29303231,277861333
1263748,29562714,800146208
989570,24419837,1047328336
869678,23249423,3963776765
872653,23264255,4280972284
850670,26075813,2922439132
791905,23462362,345814974
759730,22262351,3692758549
740181,19989753,1901763504
730031,21828256,3357743274
773813,20884319,2494421068
746699,21876768,3304272666
778752,22831668,3790983499
806537,23313434,14984224
844568,23071587,3980021867
845056,23105021,3948617413
914973,23953490,4280911247
1239998,32837289,2296355677
905296,17645427,3635166227
1250311,29589366,4203845826
1029964,28904660,3214156743
1309477,29771644,4210696733
1216561,30341138,430117994
1123575,28862969,3425886485
1243610,30384042,532170534
1330706,30410322,1150974491
1176846,31730961,1689833939
1234773,30523248,1081277228
1052584,29327677,4260104680
1247556,34363147,3688477776
1124886,28324676,2801758330
1003022,25859110,1014034319
1228403,29101691,3865087671
947309,23605549,3665630291
1004798,25769324,1164429299
1289277,30796748,794375607
1082707,27932697,2539804128
1291488,31068869,558357230
1281383,32115418,1570018168
1311948,31361514,550017560
1301738,32004081,1443452124
1103608,29072157,3506501584
1287054,32234925,2423802820
1262724,32645673,2822318847
1061001,27177751,3168564985
868276,22591467,3319048542
639046,17072948,3952605933
643188,16601639,3234121351
448127,10875168,3128253089
430981,10644954,2951312780
424055,10869723,3381383417
386049,9913134,2638488423
364972,8747679,1899792361
327877,8311256,1641985238
325257,8560030,1804377233
311615,8322398,1741855807
323262,7535980,1117057292
284896,6935009,653776420
257888,6380039,286685563
246703,5729922,3975141870
245405,5461987,3734968418
231865,4799753,3322303274
224673,5760774,4004776795
217620,5699204,3833313941
224010,5410249,4039102672
227271,4832931,3334810187
203814,5359041,3856231421
188465,4803168,3338034106
194201,4555291,3227878149
180313,3992474,2684396379
183127,4783274,3491068066
184139,3720842,2489036113
175488,3742674,2682007387
182754,3774966,2762651442
161686,3483109,2489544100
166675,3627130,2666503180
172972,3110802,2107890382
170162,3078638,2090666950
178699,3154143,2099585097
195572,3795001,2521488980
188625,3310855,2188330842
172617,3411238,2301268234
196873,4565293,3255810886
152023,2971714,1924445670
167144,3186290,2284034973
175903,3053715,2046799516
168672,3219948,2376617313
164329,2909300,2041910757
171526,3583482,2649695070
171112,3546199,2654484570
162627,3272044,2431547314
163198,3002874,2094757239
160656,3134004,2184974784
159309,3427849,2437633642
165519,2889687,2055501922
169092,3419575,2453004215
170729,3892186,2849935077
171523,3736757,2690703057
161711,3387127,2364535812
187818,3573968,2578995215
169462,3436495,2531397747
165012,3488514,2539263724
190279,3384380,2456530583
181335,3467921,2537188539
191787,3666138,2784720649
170177,3758629,2937552486
158776,3067276,2244649112
176099,3492975,2637140507
171612,3439486,2606386442
160771,3438730,2568250901
172915,3916116,3023656452
159680,3247774,2388577361
160436,3986398,3101688476
163118,3704941,2856982116
156967,3635287,2842776325
161808,3600495,2799704734
169238,3804607,2925052261
158610,3851734,2894021127
154336,3677284,2890338802
157247,3689452,2872790004
171087,3172440,2348423415
148435,3089119,2349934265
151548,3092292,2278287792
144113,3078158,2339354231
149680,3659233,2788277254
168804,3199341,2416910417
149943,3614700,2837512894
139898,3719980,2969235759
140763,3648187,2938997795
140213,3191991,2443969473
137064,3413351,2751654262
149181,3334919,2570031663
136578,3353611,2647555448
134988,2859013,2174677207
125575,2727097,2123938389
124735,2606547,1952103077
129824,2341853,1749382768
132123,2837585,2183216939
124747,2797589,2181808159
124695,2613024,1995195613
123464,2194248,1596610111
123773,2352416,1757639084
123935,2500190,1851865759
128365,2581263,1891118592
138810,2111630,1507852540
122077,2387619,1787100851
120758,2079565,1513580154
122632,2011893,1477261829
